id,name,age,email,city
1,Alice Johnson,29,alice.johnson@example.com,New York
2,Bob Smith,34,bob.smith@example.com,Los Angeles
3,Carol Davis,41,carol.davis@example.com,Chicago
4,David Lee,26,david.lee@example.com,Houston
5,Emma Wilson,37,emma.wilson@example.com,Phoenix
6,Frank Miller,45,frank.miller@example.com,Philadelphia
7,Grace Taylor,31,grace.taylor@example.com,San Antonio
8,Henry Clark,23,henry.clark@example.com,San Diego
9,Ivy Martinez,38,ivy.martinez@example.com,Dallas
10,Jack Anderson,27,jack.anderson@example.com,Austin
